train_size,split,n,correct_structure_n,correct_tool_n,correct_structure_and_tool_n,structure_or_tool_incorrect_n,answer_given_correct_structure,answer_given_correct_tool,answer_given_correct_structure_and_tool,answer_given_structure_or_tool_incorrect
50,seen,120,88,65,45,75,0.07954545454545454,0.12307692307692308,0.13333333333333333,0.08
50,unseen,120,49,58,37,83,0.061224489795918366,0.034482758620689655,0.02702702702702703,0.0963855421686747
100,seen,120,120,120,120,0,0.09166666666666666,0.09166666666666666,0.09166666666666666,
100,unseen,120,104,94,94,26,0.07692307692307693,0.06382978723404255,0.06382978723404255,0.11538461538461539
200,seen,120,120,120,120,0,0.125,0.125,0.125,
200,unseen,120,110,100,100,20,0.07272727272727272,0.07,0.07,0.05
500,seen,120,120,120,120,0,0.19166666666666668,0.19166666666666668,0.19166666666666668,
500,unseen,120,110,100,100,20,0.11818181818181818,0.09,0.09,0.2
