train_size,split,n,correct_structure_n,correct_tool_n,correct_structure_and_tool_n,structure_or_tool_incorrect_n,answer_given_correct_structure,answer_given_correct_tool,answer_given_correct_structure_and_tool,answer_given_structure_or_tool_incorrect
50,seen,120,69,85,49,71,0.043478260869565216,0.08235294117647059,0.061224489795918366,0.08450704225352113
50,unseen,120,10,73,10,110,0.0,0.0,0.0,0.0
100,seen,120,119,118,118,2,0.11764705882352941,0.11016949152542373,0.11016949152542373,0.5
100,unseen,120,78,96,72,48,0.05128205128205128,0.041666666666666664,0.05555555555555555,0.0
200,seen,120,120,120,120,0,0.15833333333333333,0.15833333333333333,0.15833333333333333,
200,unseen,120,74,91,64,56,0.13513513513513514,0.06593406593406594,0.09375,0.07142857142857142
500,seen,120,120,120,120,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,
500,unseen,120,86,97,71,49,0.10465116279069768,0.10309278350515463,0.11267605633802817,0.10204081632653061
