train_size,split,baseline_answer_accuracy,structure_answer_accuracy,oracle_answer_accuracy,structure_accuracy,tool_accuracy,answer_given_correct_structure,answer_given_correct_tool,answer_given_correct_structure_and_tool,answer_given_structure_or_tool_incorrect
50,seen,0.041666666666666664,0.075,0.05,0.575,0.7083333333333334,0.043478260869565216,0.08235294117647059,0.061224489795918366,0.08450704225352113
50,unseen,0.06666666666666667,0.0,0.041666666666666664,0.08333333333333333,0.6083333333333333,0.0,0.0,0.0,0.0
100,seen,0.10833333333333334,0.11666666666666667,0.05,0.9916666666666667,0.9833333333333333,0.11764705882352941,0.11016949152542373,0.11016949152542373,0.5
100,unseen,0.03333333333333333,0.03333333333333333,0.058333333333333334,0.65,0.8,0.05128205128205128,0.041666666666666664,0.05555555555555555,0.0
200,seen,0.15,0.15833333333333333,0.08333333333333333,1.0,1.0,0.15833333333333333,0.15833333333333333,0.15833333333333333,
200,unseen,0.075,0.08333333333333333,0.075,0.6166666666666667,0.7583333333333333,0.13513513513513514,0.06593406593406594,0.09375,0.07142857142857142
500,seen,0.13333333333333333,0.16666666666666666,0.175,1.0,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,
500,unseen,0.09166666666666666,0.10833333333333334,0.08333333333333333,0.7166666666666667,0.8083333333333333,0.10465116279069768,0.10309278350515463,0.11267605633802817,0.10204081632653061
