train_size,split,n,baseline_direct_accuracy,structure_direct_accuracy,predicted_plugin_accuracy,oracle_plugin_accuracy,structure_accuracy,tool_accuracy,argument_accuracy,argument_exact_match_accuracy,argument_semantic_validity_rate,argument_parse_rate,plugin_execution_success_rate,final_answer_given_correct_tool,final_answer_given_correct_tool_and_arguments,plugin_success_given_correct_tool
50,seen,120,0.041666666666666664,0.075,0.1,1.0,0.13333333333333333,0.5166666666666667,0.075,0.041666666666666664,0.075,0.95,0.175,0.14516129032258066,1.0,0.27419354838709675
50,unseen,120,0.06666666666666667,0.0,0.03333333333333333,1.0,0.0,0.5666666666666667,0.0,0.0,0.0,0.9333333333333333,0.09166666666666666,0.04411764705882353,,0.1323529411764706
100,seen,120,0.10833333333333334,0.11666666666666667,0.625,1.0,0.9416666666666667,0.9916666666666667,0.6166666666666667,0.5583333333333333,0.6166666666666667,1.0,0.7083333333333334,0.6302521008403361,1.0,0.7058823529411765
100,unseen,120,0.03333333333333333,0.03333333333333333,0.23333333333333334,1.0,0.36666666666666664,0.7083333333333334,0.15,0.025,0.15,0.975,0.4583333333333333,0.32941176470588235,1.0,0.5294117647058824
200,seen,120,0.15,0.15833333333333333,0.8833333333333333,1.0,1.0,1.0,0.8833333333333333,0.8416666666666667,0.8833333333333333,1.0,0.9916666666666667,0.8833333333333333,1.0,0.9916666666666667
200,unseen,120,0.075,0.08333333333333333,0.325,1.0,0.5166666666666667,0.7916666666666666,0.31666666666666665,0.19166666666666668,0.31666666666666665,0.975,0.4583333333333333,0.3894736842105263,1.0,0.5578947368421052
500,seen,120,0.13333333333333333,0.16666666666666666,0.9833333333333333,1.0,1.0,1.0,0.9833333333333333,0.95,0.9833333333333333,1.0,0.9916666666666667,0.9833333333333333,1.0,0.9916666666666667
500,unseen,120,0.09166666666666666,0.10833333333333334,0.36666666666666664,1.0,0.5083333333333333,0.6416666666666667,0.30833333333333335,0.25,0.30833333333333335,0.975,0.5166666666666667,0.44155844155844154,1.0,0.6753246753246753
