train_size,split,n,correct_structure_n,correct_tool_n,correct_structure_and_tool_n,structure_or_tool_incorrect_n,answer_given_correct_structure,answer_given_correct_tool,answer_given_correct_structure_and_tool,answer_given_structure_or_tool_incorrect
50,seen,120,1,0,0,120,0.0,,,0.008333333333333333
50,unseen,120,0,0,0,120,,,,0.008333333333333333
100,seen,120,38,39,30,90,0.02631578947368421,0.02564102564102564,0.03333333333333333,0.011111111111111112
100,unseen,120,6,5,4,116,0.0,0.0,0.0,0.008620689655172414
200,seen,120,120,120,120,0,0.025,0.025,0.025,
200,unseen,120,55,55,55,65,0.0,0.0,0.0,0.0
500,seen,120,120,120,120,0,0.016666666666666666,0.016666666666666666,0.016666666666666666,
500,unseen,120,87,87,87,33,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.0
